index,Month,#Passengers,test1,test2
1,1949-01,112,229,550
2,1949-02,118,241,580
3,1949-03,132,269,650
4,1949-04,129,263,635
5,1949-05,121,247,595
6,1949-06,135,275,665
7,1949-07,148,301,730
8,1949-08,148,301,730
9,1949-09,136,277,670
10,1949-10,119,243,585
11,1949-11,104,213,510
12,1949-12,118,241,580
13,1950-01,115,235,565
14,1950-02,126,257,620
15,1950-03,141,287,695
16,1950-04,135,275,665
17,1950-05,125,255,615
18,1950-06,149,303,735
19,1950-07,170,345,840
20,1950-08,170,345,840
21,1950-09,158,321,780
22,1950-10,133,271,655
23,1950-11,114,233,560
24,1950-12,140,285,690
25,1951-01,145,295,715
26,1951-02,150,305,740
27,1951-03,178,361,880
28,1951-04,163,331,805
29,1951-05,172,349,850
30,1951-06,178,361,880
31,1951-07,199,403,985
32,1951-08,199,403,985
33,1951-09,184,373,910
34,1951-10,162,329,800
35,1951-11,146,297,720
36,1951-12,166,337,820
37,1952-01,171,347,845
38,1952-02,180,365,890
39,1952-03,193,391,955
40,1952-04,181,367,895
41,1952-05,183,371,905
42,1952-06,218,441,1080
43,1952-07,230,465,1140
44,1952-08,242,489,1200
45,1952-09,209,423,1035
46,1952-10,191,387,945
47,1952-11,172,349,850
48,1952-12,194,393,960
49,1953-01,196,397,970
50,1953-02,196,397,970
51,1953-03,236,477,1170
52,1953-04,235,475,1165
53,1953-05,229,463,1135
54,1953-06,243,491,1205
55,1953-07,264,533,1310
56,1953-08,272,549,1350
57,1953-09,237,479,1175
58,1953-10,211,427,1045
59,1953-11,180,365,890
60,1953-12,201,407,995
61,1954-01,204,413,1010
62,1954-02,188,381,930
63,1954-03,235,475,1165
64,1954-04,227,459,1125
65,1954-05,234,473,1160
66,1954-06,264,533,1310
67,1954-07,302,609,1500
68,1954-08,293,591,1455
69,1954-09,259,523,1285
70,1954-10,229,463,1135
71,1954-11,203,411,1005
72,1954-12,229,463,1135
73,1955-01,242,489,1200
74,1955-02,233,471,1155
75,1955-03,267,539,1325
76,1955-04,269,543,1335
77,1955-05,270,545,1340
78,1955-06,315,635,1565
79,1955-07,364,733,1810
80,1955-08,347,699,1725
81,1955-09,312,629,1550
82,1955-10,274,553,1360
83,1955-11,237,479,1175
84,1955-12,278,561,1380
85,1956-01,284,573,1410
86,1956-02,277,559,1375
87,1956-03,317,639,1575
88,1956-04,313,631,1555
89,1956-05,318,641,1580
90,1956-06,374,753,1860
91,1956-07,413,831,2055
92,1956-08,405,815,2015
93,1956-09,355,715,1765
94,1956-10,306,617,1520
95,1956-11,271,547,1345
96,1956-12,306,617,1520
97,1957-01,315,635,1565
98,1957-02,301,607,1495
99,1957-03,356,717,1770
100,1957-04,348,701,1730
101,1957-05,355,715,1765
102,1957-06,422,849,2100
103,1957-07,465,935,2315
104,1957-08,467,939,2325
105,1957-09,404,813,2010
106,1957-10,347,699,1725
107,1957-11,305,615,1515
108,1957-12,336,677,1670
109,1958-01,340,685,1690
110,1958-02,318,641,1580
111,1958-03,362,729,1800
112,1958-04,348,701,1730
113,1958-05,363,731,1805
114,1958-06,435,875,2165
115,1958-07,491,987,2445
116,1958-08,505,1015,2515
117,1958-09,404,813,2010
118,1958-10,359,723,1785
119,1958-11,310,625,1540
120,1958-12,337,679,1675
121,1959-01,360,725,1790
122,1959-02,342,689,1700
123,1959-03,406,817,2020
124,1959-04,396,797,1970
125,1959-05,420,845,2090
126,1959-06,472,949,2350
127,1959-07,548,1101,2730
128,1959-08,559,1123,2785
129,1959-09,463,931,2305
130,1959-10,407,819,2025
131,1959-11,362,729,1800
132,1959-12,405,815,2015
133,1960-01,417,839,2075
134,1960-02,391,787,1945
135,1960-03,419,843,2085
136,1960-04,461,927,2295
137,1960-05,472,949,2350
138,1960-06,535,1075,2665
139,1960-07,622,1249,3100
140,1960-08,606,1217,3020
141,1960-09,508,1021,2530
142,1960-10,461,927,2295
143,1960-11,390,785,1940
144,1960-12,432,869,2150
